Book Name,Author,Rating,Customers_Rated,Price
Ikigai: The Japanese secret to a long and happy life,Héctor García,4.6 out of 5 stars,"18,035",₹308.00
The Psychology of Money,Morgan Housel,4.6 out of 5 stars,"13,000",₹277.00
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 out of 5 stars,"29,410",₹399.00
My First Book of Pencil Control : Practice Pattern Writing (Full Color Pages): Patterns Practice book for kids (Pattern…,Wonder House Books,4.4 out of 5 stars,"7,668",₹89.00
Atomic Habits: The life-changing million copy bestseller,James Clear,4.6 out of 5 stars,"22,694",₹428.00
Picture Books Collection for Early Learning (Set of 12),E C Axus,4.3 out of 5 stars,"7,820",₹215.00
Activity Books Collection for Early Learning by InIkao : Set of 8 Activity Books for Kindergarten kids,InIkao,4.3 out of 5 stars,579,₹99.00
The Alchemist,Paulo Coelho,4.6 out of 5 stars,"59,751",₹212.00
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.6 out of 5 stars,"44,370",₹332.00
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,Dale Carnegie,4.5 out of 5 stars,"8,907",₹299.00
Word Power Made Easy,Norman Lewis,4.4 out of 5 stars,"24,118",₹91.00
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for…",Sudha Murty,4.6 out of 5 stars,"7,077",₹191.00
Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.4 out of 5 stars,"14,642",₹465.00
As a Man Thinketh,James Allen,4.4 out of 5 stars,"2,944",₹59.00
"Karma: A Yogi's Guide to Crafting Your Destiny NEW YORK TIMES, USA TODAY, and PUBLISHERS WEEKLY BESTSELLER , must-read…",Sadhguru,4.7 out of 5 stars,"2,375",₹190.00
101 Panchatantra Stories for Children: Colourful Illustrated Stories,Om Books Editorial Team,4.5 out of 5 stars,"2,167",₹135.00
Indian Polity - For Civil Services and Other State Examinations | 6th Edition,M. Laxmikanth,4.6 out of 5 stars,"11,838",₹620.00
Oxford Student Atlas for India - Third Edition,Oxford University Press,4.6 out of 5 stars,"7,583",₹234.00
Capital Letters ABC: Write and practice Capital Letters A to Z book for kids (Writing Fun),Wonder House Books,4.3 out of 5 stars,"1,409",₹42.00
Objective NCERT at your FINGERTIPS for NEET-AIIMS - Biology,MTG Editorial Board,4.6 out of 5 stars,"2,654",₹556.00
26 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2020) 11th Edition,Mrunal Patel,4.5 out of 5 stars,"3,258",₹329.00
Very First Sight Words Sentences Level - 1,Dreamland Publications,4.5 out of 5 stars,"4,555",₹140.00
General Knowledge,Dr. Binay Karna,4.4 out of 5 stars,"13,371",₹153.00
